S-E,Viewers,Stars
01-01,21.5,8.3
01-02,20.2,8.1
01-03,19.5,8.2
01-04,19.7,8.1
01-05,18.6,8.5
01-06,18.2,8.1
01-07,23.5,9.0
01-08,21.1,8.1
01-09,23.1,8.2
01-10,19.9,8.1
01-11,26.6,8.2
01-12,24.0,8.2
01-13,25.8,8.7
01-14,23.8,8.3
01-15,24.8,8.2
01-16,26.1,8.2
01-17,30.5,8.5
01-18,30.4,8.8
01-19,29.4,8.1
01-20,30.0,7.9
01-21,28.4,7.9
01-22,29.9,8.3
01-23,28.7,8.7
01-24,31.3,8.9
02-01,32.1,8.5
02-02,29.8,8.2
02-03,30.2,8.4
02-04,28.1,8.0
02-05,28.3,8.3
02-06,30.2,8.6
02-07,30.5,9.0
02-08,32.9,8.5
02-09,27.8,8.0
02-10,32.2,8.0
02-11,31.6,8.1
02-12,52.9,8.701858442071964
02-14,33.6,9.4
02-15,32.9,8.9
02-16,31.1,8.6
02-17,30.2,8.3
02-18,30.1,8.5
02-19,31.2,8.6
02-20,27.4,8.2
02-21,24.7,8.2
02-22,25.5,9.0
02-23,26.1,8.1
02-24,29.0,8.2
03-01,26.8,8.4
03-02,26.7,9.0
03-03,25.2,8.1
03-04,26.1,8.1
03-05,23.3,8.1
03-06,23.3,9.1
03-07,27.4,8.3
03-08,28.7,8.4
03-09,29.3,9.0
03-10,25.1,8.1
03-11,29.8,8.6
03-12,29.6,8.2
03-13,28.0,8.2
03-14,28.9,7.9
03-15,27.3,8.5
03-16,28.3,9.1
03-17,25.8,8.3
03-18,28.1,8.4
03-19,23.7,8.2
03-20,24.4,8.1
03-21,23.2,8.7
03-22,22.6,8.3
03-23,24.2,8.1
03-24,23.1,8.1
03-25,28.8,8.9
04-01,29.4,9.1
04-02,25.5,8.1
04-03,24.0,8.5
04-04,24.3,8.2
04-05,24.4,8.4
04-06,25.7,8.5
04-07,26.4,8.7
04-08,26.8,9.1
04-09,23.9,7.9
04-10,23.2,8.1
04-11,23.7,8.5
04-12,27.1,9.5
04-13,25.3,8.2
04-14,25.1,8.2
04-15,24.4,8.5
04-16,23.1,8.2
04-17,23.2,8.6
04-18,21.7,8.3
04-19,21.8,8.7
04-20,21.9,8.5
04-21,21.5,7.2
04-22,23.2,8.5
04-23,31.6,8.978902116402116
05-01,31.1,8.9
05-02,25.4,9.0
05-03,26.8,8.8
05-04,24.1,8.3
05-05,25.9,8.8
05-06,25.0,8.1
05-07,24.4,8.4
05-08,23.9,9.2
05-09,23.0,9.1
05-10,23.7,8.2
05-11,27.0,9.1
05-12,24.8,8.3
05-13,24.9,8.1
05-14,27.7,9.7
05-15,29.3,8.5
05-16,26.0,8.6
05-17,24.5,8.5
05-18,21.9,8.0
05-19,20.9,8.7
05-20,19.6,8.3
05-21,20.9,8.5
05-22,21.3,8.3
05-23,25.9,8.959503424657534
06-01,27.7,8.7
06-02,22.9,8.2
06-03,21.6,8.2
06-04,21.1,8.5
06-05,22.4,8.2
06-06,23.6,8.5
06-07,22.7,8.4
06-08,22.1,8.5
06-09,19.2,9.2
06-10,22.4,8.6
06-11,22.3,8.1
06-12,22.3,8.1
06-13,24.1,8.2
06-14,23.8,8.6
06-15,20.7,8.5
06-17,22.1,9.1
06-18,20.5,8.3
06-19,21.5,8.3
06-20,18.8,7.4
06-21,20.6,8.6
06-22,20.0,9.0
06-23,20.9,8.6
06-24,30.7,9.088649841401187
07-01,25.54,8.4
07-02,27.93,8.3
07-03,22.7,8.1
07-04,22.66,8.1
07-05,24.43,8.1
07-06,22.01,8.9
07-07,23.73,8.5
07-08,16.57,8.2
07-09,21.08,8.1
07-10,23.26,8.5
07-11,24.37,8.6
07-12,22.86,8.7
07-13,22.24,8.4
07-14,22.4,8.6
07-15,21.75,8.4
07-16,21.22,8.7
07-17,20.84,8.4
07-18,17.81,8.4
07-19,16.55,8.7
07-20,16.3,8.4
07-21,15.65,7.5
07-22,17.23,8.4
07-23,30.05,9.058566978193147
08-01,31.7,8.7
08-02,30.04,9.1
08-03,29.2,8.7
08-04,25.58,9.3
08-05,25.64,8.1
08-06,26.96,8.5
08-07,24.24,7.9
08-08,26.54,8.8
08-09,24.24,9.3
08-10,22.44,8.1
08-11,23.85,8.0
08-12,25.53,8.5
08-13,29.24,8.6
08-14,28.64,8.2
08-15,28.64,8.4
08-16,27.52,8.3
08-17,26.3,8.1
08-18,22.05,8.2
08-19,22.59,7.5
08-20,22.24,8.2
08-21,23.97,8.2
08-22,24.32,8.3
08-23,34.91,8.852014531043594
09-01,34.01,8.6
09-02,28.93,8.5
09-03,26.63,8.2
09-04,25.82,8.2
09-05,24.46,8.5
09-06,27.51,8.4
09-07,25.35,8.7
09-08,26.76,8.8
09-09,25.43,8.2
09-10,22.29,7.5
09-11,23.67,8.0
09-12,23.66,8.0
09-13,25.82,8.2
09-14,23.37,8.2
09-15,20.85,8.3
09-16,19.52,8.2
09-17,21.0,8.5
09-18,20.79,8.6
09-19,18.25,8.1
09-20,20.71,8.2
09-21,19.03,8.2
09-22,19.55,7.8
09-23,25.46,8.55125247792395
10-01,24.54,8.5
10-02,22.38,8.8
10-03,21.87,8.8
10-04,18.77,8.3
10-05,19.37,8.2
10-06,20.38,8.2
10-07,20.21,8.3
10-08,20.66,8.9
10-09,25.49,8.6
10-10,26.68,8.0
10-11,24.91,9.0
10-12,25.9,8.9
10-13,24.27,8.5
10-14,22.83,8.6
10-15,22.64,8.5
10-16,24.51,8.9
10-17,52.46,9.625057222021445
